Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Matched_food_product,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.7999999999999999,2.173410405,7.52,3.384338434,,178.48784880000002,396.6,0.2832369939999999,0.441044104,2.156069364,7.46,3.357335734,27948.2,12577.94779,,"Peas, raw, green","Peas, raw, green",100 g,81,0.4g,0.1g,0,5.00 mg,28.4 mg,65.00 mcg,0.00 mcg,2.090 mg,0.104 mg,0.132 mg,0.266 mg,765.00 IU,38.00 mcg,21.00 mcg,449.00 mcg,0.00 mcg,2477.00 mcg,0,0.00 mcg,0.169 mg,40.0 mg,0.00 IU,0.13 mg,0.13 mg,24.8 mcg,25.00 mg,0.176 mg,1.47 mg,33.00 mg,0.410 mg,108.00 mg,244.00 mg,1.8 mcg,1.24 mg,5.42 g,0.240 g,0.428 g,0.496 g,0.032 g,0.741 g,0.184 g,0.107 g,0,0.195 g,0.323 g,0.317 g,0.082 g,0.200 g,0.173 g,0.181 g,0.203 g,0.037 g,0.114 g,0.235 g,14.45 g,5.7 g,5.67 g,0.39 g,0.00 g,0.12 g,0.00 g,0.17 g,4.99 g,0.40 g,0.071 g,0.035 g,0.187 g,0.00 mg,0.0 g,0.87 g,0.00 mg,0.00 mg,78.86 g
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.2,3.113821138,19.15,11.72688304,672.1626016,2531.414574,4133.8,0.069918699,0.263319045,2.107317073,12.96,7.936313533,229889.8,140777.5873,37380.45528,"Nuts, pecans","Nuts, pecans",100 g,691,72g,6.2g,0,0.00 mg,40.5 mg,22.00 mcg,0.00 mcg,1.167 mg,0.863 mg,0.130 mg,0.660 mg,56.00 IU,3.00 mcg,0.00 mcg,29.00 mcg,9.00 mcg,17.00 mcg,0,0.00 mcg,0.210 mg,1.1 mg,0.00 IU,1.40 mg,1.40 mg,3.5 mcg,70.00 mg,1.200 mg,2.53 mg,121.00 mg,4.500 mg,277.00 mg,410.00 mg,3.8 mcg,4.53 mg,9.17 g,0.397 g,1.177 g,0.929 g,0.152 g,1.829 g,0.453 g,0.262 g,0,0.336 g,0.598 g,0.287 g,0.183 g,0.426 g,0.363 g,0.474 g,0.306 g,0.093 g,0.215 g,0.411 g,13.86 g,9.6 g,3.97 g,0.04 g,0,0.04 g,0.00 g,0.00 g,3.90 g,71.97 g,6.180 g,40.801 g,21.614 g,0.00 mg,0.0 g,1.49 g,0.00 mg,0.00 mg,3.52 g
Peanuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.4,2.437931034,14.14,5.401069519,319.362069,707.5248281,1852.3,0.556896552,1.233766234,1.570689655,9.11,3.479755539,61797.9,23605.00382,10654.81034,"Peanuts, raw, all types","Peanuts, raw, all types",100 g,567,49g,6.3g,0,18.00 mg,52.5 mg,240.00 mcg,0.00 mcg,12.066 mg,1.767 mg,0.135 mg,0.640 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.348 mg,0.0 mg,0.00 IU,8.33 mg,8.33 mg,0.0 mcg,92.00 mg,1.144 mg,4.58 mg,168.00 mg,1.934 mg,376.00 mg,705.00 mg,7.2 mcg,3.27 mg,25.80 g,1.025 g,3.085 g,3.146 g,0.331 g,5.390 g,1.554 g,0.652 g,0,0.907 g,1.672 g,0.926 g,0.317 g,1.377 g,1.138 g,1.271 g,0.883 g,0.250 g,1.049 g,1.082 g,16.13 g,8.5 g,4.72 g,0,0,0,0,0,0,49.24 g,6.279 g,24.426 g,15.558 g,0.00 mg,0.0 g,2.33 g,0.00 mg,0.00 mg,6.50 g
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,1.0,,1.06,,,,27.8,,,,0.66,,955.6,,,"SILK Plain, soymilk","SILK Plain, soymilk",100 g,41,1.7g,0.2g,0,49.00 mg,0,10.00 mcg,0,0,0,0.210 mg,0,206.00 IU,0,0,0,0,0,0,1.23 mcg,0,0.0 mg,49.00 IU,0,0,0,123.00 mg,0,0.44 mg,16.00 mg,0,0,123.00 mg,2.3 mcg,0.25 mg,2.88 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29 g,0.4 g,2.47 g,0,0,0,0,0,0,1.65 g,0.206 g,0,0,0.00 mg,0,0.65 g,0,0,91.53 g
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,3.0,,,,,,,,,,,,,,,HOUSE FOODS Premium Firm Tofu,HOUSE FOODS Premium Firm Tofu,100 g,85,4.2g,0.7g,0,33.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,1.1 mg,0,0,0,0,149.00 mg,0,1.69 mg,0,0,0,0,0,0,10.92 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97 g,0.9 g,0.40 g,0,0,0,0,0,0,4.19 g,0.710 g,0.970 g,2.510 g,0.00 mg,0,1.05 g,0,0,82.87 g
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,5.999999999999999,,11.69,,,,414.6,,,,10.52,,14888.2,,,"Oil, soybean lecithin","Oil, soybean lecithin",100 g,763,100g,15g,0,0.00 mg,350.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,8.18 mg,8.18 mg,183.9 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,15.005 g,10.977 g,45.318 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,7.6,1.207013575,10.67,,0.7239819000000001,,6.4,0.828054299,,0.273755656,2.42,,36.2,,4.095022623999999,"Oil, palm","Oil, palm",100 g,884,100g,49g,0,0.00 mg,0.3 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0,15.94 mg,15.94 mg,8.0 mcg,0.00 mg,0.000 mg,0.01 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,49.300 g,37.000 g,9.300 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,3.5000000000000004,5.730769231,50.66,,114.0158371,,1007.9,0.407239819,,1.997737557,17.66,,36369.4,,4114.18552,"Oil, corn and canola","Oil, corn and canola",100 g,884,100g,8g,0,0.00 mg,0.2 mg,0.00 mcg,0.00 mcg,0.000 mg,0,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,14.84 mg,14.84 mg,42.2 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,8.026 g,58.537 g,29.113 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,3.7,2.17081448,19.19,,26.88914027,,237.7,0.426470588,,1.202488688,10.63,,10593.7,,1198.382353,"Oil, grapeseed","Oil, grapeseed",100 g,884,100g,9.6g,0,0.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0,28.80 mg,28.80 mg,0,0.00 mg,0,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,9.600 g,16.100 g,69.900 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,6.0,4.214932127,37.26,,242.2850679,,2141.8,0.6131221720000001,,2.976244344,26.31,,177480.2,,20076.9457,"Oil, salad or cooking, olive","Oil, salad or cooking, olive",100 g,884,100g,14g,0,2.00 mg,0.3 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,14.35 mg,14.35 mg,60.2 mcg,1.00 mg,0.000 mg,0.56 mg,0.00 mg,0.000 mg,0.00 mg,1.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,13.808 g,72.961 g,10.523 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,1.4,39.52631579,7.51,68.27272727,1946.315789,3361.818182,369.8,11.0,19.0,4.210526316,0.8,7.272727272999999,5335.7,48506.36364,28082.63158,"Tomatoes, raw, orange","Tomatoes, raw, orange",100 g,16,0.2g,,0,42.00 mg,0,29.00 mcg,0.00 mcg,0.593 mg,0.186 mg,0.034 mg,0.046 mg,1496.00 IU,75.00 mcg,0,0,0,0,0,0.00 mcg,0.060 mg,16.0 mg,0.00 IU,0,0,0,5.00 mg,0.062 mg,0.47 mg,8.00 mg,0.088 mg,29.00 mg,212.00 mg,0.4 mcg,0.14 mg,1.16 g,0.033 g,0.029 g,0.161 g,0.015 g,0.427 g,0.029 g,0.018 g,0,0.027 g,0.042 g,0.042 g,0.010 g,0.030 g,0.022 g,0.031 g,0.029 g,0.008 g,0.020 g,0.030 g,3.18 g,0.9 g,0,0,0,0,0,0,0,0.19 g,0.025 g,0.028 g,0.076 g,0.00 mg,0,0.69 g,0,0,94.78 g
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,8.756756757,3.24,24.92307692,38.64864865,110.0,14.3,1.351351351,3.846153846,1.054054054,0.39,3.0,932.0,7169.230769,2518.918919,"Onions, unprepared, chopped, frozen","Onions, unprepared, chopped, frozen",100 g,29,0.1g,,0,12.00 mg,0,17.00 mcg,0.00 mcg,0.151 mg,0.102 mg,0.027 mg,0.030 mg,35.00 IU,2.00 mcg,0,0,0,0,0,0.00 mcg,0.075 mg,3.3 mg,0.00 IU,0,0,0,17.00 mg,0.019 mg,0.33 mg,7.00 mg,0.074 mg,22.00 mg,124.00 mg,0.4 mcg,0.07 mg,0.79 g,0.022 g,0.106 g,0.043 g,0.014 g,0.127 g,0.033 g,0.013 g,0,0.028 g,0.028 g,0.038 g,0.007 g,0.020 g,0.025 g,0.023 g,0.019 g,0.011 g,0.020 g,0.018 g,6.82 g,1.8 g,0,0,0,0,0,0,0,0.10 g,0.017 g,0.014 g,0.039 g,0.00 mg,0.0 g,0.30 g,0,0,91.99 g
Turnips,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.351351351,1.61,16.1,76.75675676,284.0,28.4,1.162162162,4.3,0.8918918920000001,0.33,3.3,929.2,9292.0,2511.351351,"Turnips, raw","Turnips, raw",100 g,28,0.1g,,0,67.00 mg,11.1 mg,15.00 mcg,0.00 mcg,0.400 mg,0.200 mg,0.030 mg,0.040 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.090 mg,21.0 mg,0.00 IU,0.03 mg,0.03 mg,0.1 mcg,30.00 mg,0.085 mg,0.30 mg,11.00 mg,0.134 mg,27.00 mg,191.00 mg,0.7 mcg,0.27 mg,0.90 g,0.035 g,0.024 g,0.063 g,0.005 g,0.130 g,0.025 g,0.014 g,0,0.036 g,0.033 g,0.036 g,0.011 g,0.017 g,0.026 g,0.029 g,0.025 g,0.009 g,0.013 g,0.030 g,6.43 g,1.8 g,3.80 g,0,0,0,0,0,0,0.10 g,0.011 g,0.006 g,0.053 g,0.00 mg,0.0 g,0.70 g,0.00 mg,0.00 mg,91.87 g
Cabbage,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.4545449999998,119.4,3.0,4.6363636360000005,3.235294118,0.55,5.0,8455.1,76864.54545,49735.88235,"Cabbage, cooked, napa","Cabbage, cooked, napa",100 g,12,0.2g,,0,11.00 mg,0,43.00 mcg,0.00 mcg,0.466 mg,0.035 mg,0.025 mg,0.005 mg,263.00 IU,13.00 mcg,49.00 mcg,133.00 mcg,0.00 mcg,0,0,0.00 mcg,0.037 mg,3.2 mg,0.00 IU,0,0,0,29.00 mg,0.096 mg,0.74 mg,8.00 mg,0.203 mg,19.00 mg,87.00 mg,0.4 mcg,0.14 mg,1.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23 g,0,0,0,0,0,0,0,0,0.17 g,0,0,0,0.00 mg,0.0 g,0.17 g,0,0,96.33 g
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,,2.27,,,,102.5,,,,0.38,,4911.4,,,"Vegetables, unprepared, frozen, mixed","Vegetables, unprepared, frozen, mixed",100 g,72,0.5g,0.1g,0,47.00 mg,0,29.00 mcg,0.00 mcg,1.252 mg,0.163 mg,0.085 mg,0.122 mg,5078.00 IU,254.00 mcg,0,0,0,0,0,0.00 mcg,0.096 mg,10.4 mg,0.00 IU,0,0,0,25.00 mg,0.093 mg,0.95 mg,24.00 mg,0.244 mg,59.00 mg,212.00 mg,0.4 mcg,0.45 mg,3.33 g,0.143 g,0.225 g,0.353 g,0.030 g,0.455 g,0.121 g,0.085 g,0,0.162 g,0.221 g,0.198 g,0.040 g,0.139 g,0.082 g,0.158 g,0.133 g,0.034 g,0.086 g,0.174 g,13.47 g,4.0 g,0,0,0,0,0,0,0,0.52 g,0.098 g,0.031 g,0.235 g,0.00 mg,0.0 g,0.60 g,0,0,82.08 g
Mandarin Orange,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,7.0,2.24,37.33333333,258.4375,1378.333333,82.7,1.21875,6.5,2.6875,0.86,14.33333333,4662.7,77711.66667,14570.9375,"Tangerines, raw, (mandarin oranges)","Tangerines, raw, (mandarin oranges)",100 g,53,0.3g,,0,2.00 mg,10.2 mg,16.00 mcg,0.00 mcg,0.376 mg,0.216 mg,0.036 mg,0.058 mg,681.00 IU,34.00 mcg,101.00 mcg,155.00 mcg,407.00 mcg,138.00 mcg,0,0.00 mcg,0.078 mg,26.7 mg,0.00 IU,0.20 mg,0.20 mg,0.0 mcg,37.00 mg,0.042 mg,0.15 mg,12.00 mg,0.039 mg,20.00 mg,166.00 mg,0.1 mcg,0.07 mg,0.81 g,0.028 g,0.068 g,0.129 g,0.002 g,0.061 g,0.019 g,0.011 g,0,0.017 g,0.028 g,0.032 g,0.002 g,0.018 g,0.074 g,0.033 g,0.016 g,0.002 g,0.015 g,0.021 g,13.34 g,1.8 g,10.58 g,2.40 g,0.00 g,2.13 g,0.00 g,0.00 g,6.05 g,0.31 g,0.039 g,0.060 g,0.065 g,0.00 mg,0.0 g,0.38 g,0.00 mg,0.00 mg,85.17 g
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.7999999999999999,5.483333332999999,3.29,36.55555556,190.8333333,1272.222222,114.5,1.4333333330000002,9.555555556,3.216666667,1.93,21.44444444,661.9,7354.444444,1103.166667,"Bananas, raw","Bananas, raw",100 g,89,0.3g,0.1g,0,1.00 mg,9.8 mg,20.00 mcg,0.00 mcg,0.665 mg,0.334 mg,0.073 mg,0.031 mg,64.00 IU,3.00 mcg,25.00 mcg,26.00 mcg,0.00 mcg,22.00 mcg,0,0.00 mcg,0.367 mg,8.7 mg,0.00 IU,0.10 mg,0.10 mg,0.5 mcg,5.00 mg,0.078 mg,0.26 mg,27.00 mg,0.270 mg,22.00 mg,358.00 mg,1.0 mcg,0.15 mg,1.09 g,0.040 g,0.049 g,0.124 g,0.009 g,0.152 g,0.038 g,0.077 g,0,0.028 g,0.068 g,0.050 g,0.008 g,0.049 g,0.028 g,0.040 g,0.028 g,0.009 g,0.009 g,0.047 g,22.84 g,2.6 g,12.23 g,4.85 g,0.00 g,4.98 g,0.00 g,0.01 g,2.39 g,0.33 g,0.112 g,0.032 g,0.073 g,0.00 mg,0.0 g,0.82 g,0.00 mg,0.00 mg,74.91 g
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.020833333,1.45,48.33333333,375.2083333,6003.333333,180.1,0.895833333,14.33333333,1.3125,0.63,21.0,12948.6,431620.0,26976.25,"Rose-apples, raw","Rose-apples, raw",100 g,25,0.3g,,0,0.00 mg,0,0,0,0.800 mg,0,0.030 mg,0.020 mg,339.00 IU,17.00 mcg,0,0,0,0,0,0.00 mcg,0,22.3 mg,0,0,0,0,29.00 mg,0.016 mg,0.07 mg,5.00 mg,0.029 mg,8.00 mg,123.00 mg,0,0.06 mg,0.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70 g,0,0,0,0,0,0,0,0,0.30 g,0,0,0,0.00 mg,0,0.40 g,0,0,93.00 g
Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,1.1,10.73684211,6.12,61.2,736.1403508999999,4196.0,419.6,2.684210526,15.3,4.228070175,2.41,24.1,21162.1,211621.0,37126.49123,"Grapes, raw, american type (slip skin)","Grapes, raw, american type (slip skin)",100 g,67,0.4g,0.1g,0,2.00 mg,5.6 mg,4.00 mcg,0.00 mcg,0.300 mg,0.024 mg,0.057 mg,0.092 mg,100.00 IU,5.00 mcg,1.00 mcg,59.00 mcg,0.00 mcg,72.00 mcg,0,0.00 mcg,0.110 mg,4.0 mg,0.00 IU,0.19 mg,0.19 mg,14.6 mcg,14.00 mg,0.040 mg,0.29 mg,5.00 mg,0.718 mg,10.00 mg,191.00 mg,0.1 mcg,0.04 mg,0.63 g,0.026 g,0.046 g,0.077 g,0.010 g,0.131 g,0.019 g,0.023 g,0,0.005 g,0.013 g,0.014 g,0.021 g,0.013 g,0.021 g,0.030 g,0.017 g,0.003 g,0.011 g,0.017 g,17.15 g,0.9 g,16.25 g,0,0,0,0,0,0,0.35 g,0.114 g,0.014 g,0.102 g,0.00 mg,0.0 g,0.57 g,0.00 mg,0.00 mg,81.30 g
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,1.4,,4.57,,,,78.9,,,,1.78,,1149.3,,,"Alcoholic beverage, light, wine","Alcoholic beverage, light, wine",100 g,49,0g,,0,7.00 mg,5.0 mg,1.00 mcg,0.00 mcg,0.100 mg,0,0.010 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.020 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,9.00 mg,0.011 mg,0.40 mg,10.00 mg,0,15.00 mg,88.00 mg,0.2 mcg,0.08 mg,0.07 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17 g,0.0 g,1.15 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,6.4 g,0.13 g,0.00 mg,0.00 mg,92.23 g
Melon,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,,"Melons, raw, cantaloupe","Melons, raw, cantaloupe",100 g,34,0.2g,0.1g,0,16.00 mg,7.6 mg,21.00 mcg,0.00 mcg,0.734 mg,0.105 mg,0.019 mg,0.041 mg,3382.00 IU,169.00 mcg,16.00 mcg,2020.00 mcg,1.00 mcg,26.00 mcg,0,0.00 mcg,0.072 mg,36.7 mg,0.00 IU,0.05 mg,0.05 mg,2.5 mcg,9.00 mg,0.041 mg,0.21 mg,12.00 mg,0.041 mg,15.00 mg,267.00 mg,0.4 mcg,0.18 mg,0.84 g,0.095 g,0.029 g,0.136 g,0.002 g,0.209 g,0.026 g,0.015 g,0,0.021 g,0.029 g,0.030 g,0.012 g,0.023 g,0.019 g,0.042 g,0.017 g,0.002 g,0.014 g,0.033 g,8.16 g,0.9 g,7.86 g,1.87 g,0.06 g,1.54 g,0.00 g,0.04 g,4.35 g,0.19 g,0.051 g,0.003 g,0.081 g,0.00 mg,0.0 g,0.65 g,0.00 mg,0.00 mg,90.15 g
